Time(s)     Volts(v)     Current(A)     IMG1(mbar)     Temperature(C)
0945        0.1          0.1            8.2e-8         22
1000        0.2          0.1            7.7e-8         22
1015        0.3          0.2            7.8e-8         22
1030        0.4          0.3            8.3e-8         22
1045        0.5          0.4            7.8e-8         70
1100        0.6          0.4            0              70
1115        0.7          0.4            0              80
1130        0.8          0.5            0              80
1145        0.9          0.5            0              80
1200        1.0          0.5            0              100
1215        1.1          0.5            0              100
1230        1.2          0.6            0              120
1245        1.3          0.6            0              120
1300        1.4          0.6            0              160
1315        1.5          0.6            0              200
